id	color
21063	#8dd3c7
21065	#8dd3c7
21067	#8dd3c7
21069	#8dd3c7
21071	#8dd3c7
21073	#8dd3c7
21075	#ffffb3
21077	#8dd3c7
21079	#8dd3c7
21081	#8dd3c7
21083	#fccde5
21085	#8dd3c7
21087	#8dd3c7
21089	#8dd3c7
21091	#ffffb3
21093	#8dd3c7
21095	#8dd3c7
21097	#8dd3c7
21099	#8dd3c7
21101	#ffffb3
21103	#8dd3c7
21105	#fccde5
21107	#fccde5
21109	#8dd3c7
21111	#b3de69
21113	#ffffb3
21115	#8dd3c7
21117	#8dd3c7
21119	#8dd3c7
21121	#fdb462
21123	#8dd3c7
21125	#8dd3c7
21127	#8dd3c7
21129	#8dd3c7
21131	#ffffb3
21133	#8dd3c7
21135	#8dd3c7
21137	#8dd3c7
21139	#8dd3c7
21141	#ffffb3
21143	#ffffb3
21145	#ffffb3
21147	#8dd3c7
21149	#fccde5
21151	#8dd3c7
21153	#8dd3c7
21155	#8dd3c7
21157	#fccde5
21159	#000000
21161	#8dd3c7
21163	#fccde5
21165	#8dd3c7
21167	#8dd3c7
21169	#8dd3c7
21171	#8dd3c7
21173	#8dd3c7
21175	#8dd3c7
21177	#fccde5
21179	#8dd3c7
21181	#8dd3c7
21183	#fccde5
21185	#8dd3c7
21187	#8dd3c7
21189	#8dd3c7
21191	#8dd3c7
21193	#8dd3c7
21195	#8dd3c7
21197	#8dd3c7
21199	#8dd3c7
21201	#8dd3c7
21203	#8dd3c7
21205	#8dd3c7
21207	#8dd3c7
21209	#ffffb3
21211	#8dd3c7
21213	#ffffb3
21215	#8dd3c7
21217	#8dd3c7
21219	#fccde5
21221	#ffffb3
21223	#8dd3c7
21225	#ffffb3
21227	#8dd3c7
21229	#8dd3c7
21231	#fccde5
21233	#fccde5
21235	#8dd3c7
21237	#8dd3c7
21239	#8dd3c7
22001	#d9d9d9
22003	#8dd3c7
22005	#8dd3c7
22007	#8dd3c7
22009	#d9d9d9
22011	#8dd3c7
22013	#fccde5
22015	#8dd3c7
22017	#bebada
22019	#8dd3c7
22021	#bebada
22023	#8dd3c7
22025	#bebada
22027	#fccde5
22029	#ffffb3
22031	#8dd3c7
22033	#8dd3c7
22035	#ffffb3
22037	#8dd3c7
22039	#8dd3c7
22041	#ffffb3
22043	#8dd3c7
22045	#d9d9d9
22047	#d9d9d9
22049	#fccde5
22051	#8dd3c7
22053	#d9d9d9
22055	#8dd3c7
22057	#8dd3c7
22059	#bc80bd
22061	#fccde5
22063	#8dd3c7
22065	#ffffb3
22067	#ffffb3
22069	#fccde5
22073	#fccde5
22075	#b3de69
22077	#d9d9d9
22079	#b3de69
22081	#8dd3c7
22083	#ffffb3
22085	#fccde5
22087	#bc80bd
22089	#bc80bd
22091	#8dd3c7
22093	#bc80bd
22095	#8dd3c7
22097	#d9d9d9
22099	#d9d9d9
22101	#d9d9d9
22103	#b3de69
22105	#fdb462
22107	#bebada
22109	#8dd3c7
22111	#fccde5
22113	#8dd3c7
22115	#8dd3c7
22117	#fdb462
22119	#8dd3c7
22121	#d9d9d9
22123	#ffffb3
22125	#8dd3c7
22127	#fccde5
23001	#8dd3c7
23003	#bc80bd
23005	#bc80bd
23007	#fdb462
23009	#fdb462
23011	#fdb462
23013	#fb8072
23015	#fdb462
23017	#fb8072
23019	#bc80bd
23021	#fdb462
23023	#fdb462
23025	#fdb462
23027	#fdb462
23029	#bc80bd
23031	#fdb462
24001	#8dd3c7
24003	#ffffb3
24005	#ffffb3
24009	#ffffb3
24011	#fccde5
24013	#fdb462
24015	#b3de69
